// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 1 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.22 sec)   *****
// Found 1 benchmarks:
//   MutexBenchmark.StartThreads: Job-LWJHUO(Toolchain=InProcessEmitToolchain, InvocationCount=1, UnrollFactor=1)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: MutexBenchmark.StartThreads: Job-LWJHUO(Toolchain=InProcessEmitToolchain, InvocationCount=1, UnrollFactor=1)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-LWJHUO(Toolchain=InProcessEmitToolchain, InvocationCount=1, UnrollFactor=1)

WorkloadResult  36: 1 op, 502623100.00 ns, 502.6231 ms/op
WorkloadResult  37: 1 op, 504322300.00 ns, 504.3223 ms/op
WorkloadResult  38: 1 op, 403535200.00 ns, 403.5352 ms/op
WorkloadResult  39: 1 op, 405439300.00 ns, 405.4393 ms/op
WorkloadResult  40: 1 op, 503884900.00 ns, 503.8849 ms/op
WorkloadResult  41: 1 op, 403275700.00 ns, 403.2757 ms/op
WorkloadResult  42: 1 op, 404087500.00 ns, 404.0875 ms/op
WorkloadResult  43: 1 op, 403587000.00 ns, 403.5870 ms/op
WorkloadResult  44: 1 op, 403504100.00 ns, 403.5041 ms/op
WorkloadResult  45: 1 op, 404110800.00 ns, 404.1108 ms/op
WorkloadResult  46: 1 op, 402769000.00 ns, 402.7690 ms/op
WorkloadResult  47: 1 op, 403457600.00 ns, 403.4576 ms/op
WorkloadResult  48: 1 op, 403663700.00 ns, 403.6637 ms/op
WorkloadResult  49: 1 op, 502916600.00 ns, 502.9166 ms/op
WorkloadResult  50: 1 op, 402415500.00 ns, 402.4155 ms/op
WorkloadResult  51: 1 op, 402632100.00 ns, 402.6321 ms/op
WorkloadResult  52: 1 op, 402804800.00 ns, 402.8048 ms/op
WorkloadResult  53: 1 op, 402953400.00 ns, 402.9534 ms/op
WorkloadResult  54: 1 op, 403433100.00 ns, 403.4331 ms/op
WorkloadResult  55: 1 op, 402381400.00 ns, 402.3814 ms/op
WorkloadResult  56: 1 op, 403253700.00 ns, 403.2537 ms/op
WorkloadResult  57: 1 op, 503914200.00 ns, 503.9142 ms/op
WorkloadResult  58: 1 op, 404248700.00 ns, 404.2487 ms/op
WorkloadResult  59: 1 op, 504114000.00 ns, 504.1140 ms/op
WorkloadResult  60: 1 op, 402438800.00 ns, 402.4388 ms/op
WorkloadResult  61: 1 op, 503286000.00 ns, 503.2860 ms/op
WorkloadResult  62: 1 op, 502994800.00 ns, 502.9948 ms/op
WorkloadResult  63: 1 op, 403324700.00 ns, 403.3247 ms/op
WorkloadResult  64: 1 op, 503034900.00 ns, 503.0349 ms/op
WorkloadResult  65: 1 op, 403375900.00 ns, 403.3759 ms/op
WorkloadResult  66: 1 op, 504850400.00 ns, 504.8504 ms/op
WorkloadResult  67: 1 op, 402407200.00 ns, 402.4072 ms/op
WorkloadResult  68: 1 op, 404174600.00 ns, 404.1746 ms/op
WorkloadResult  69: 1 op, 403057800.00 ns, 403.0578 ms/op
WorkloadResult  70: 1 op, 404416500.00 ns, 404.4165 ms/op
WorkloadResult  71: 1 op, 503281100.00 ns, 503.2811 ms/op
WorkloadResult  72: 1 op, 403464100.00 ns, 403.4641 ms/op
WorkloadResult  73: 1 op, 504294100.00 ns, 504.2941 ms/op
WorkloadResult  74: 1 op, 503717200.00 ns, 503.7172 ms/op
WorkloadResult  75: 1 op, 406027900.00 ns, 406.0279 ms/op
WorkloadResult  76: 1 op, 404259900.00 ns, 404.2599 ms/op
WorkloadResult  77: 1 op, 402863800.00 ns, 402.8638 ms/op
WorkloadResult  78: 1 op, 402670400.00 ns, 402.6704 ms/op
WorkloadResult  79: 1 op, 403486400.00 ns, 403.4864 ms/op
