// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.01 sec)   *****
// Found 3 benchmarks:
//   Perf_Environment.GetEnvironmentVariable: Job-KEPDVG(Toolchain=InProcessEmitToolchain)
//   Perf_Environment.ExpandEnvironmentVariables: Job-KEPDVG(Toolchain=InProcessEmitToolchain)
//   Perf_Environment.GetEnvironmentVariables: Job-KEPDVG(Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: Perf_Environment.GetEnvironmentVariable: Job-KEPDVG(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-KEPDVG(Toolchain=InProcessEmitToolchain)

WorkloadResult   7: 2097152 op, 541107800.00 ns, 258.0203 ns/op
WorkloadResult   8: 2097152 op, 519261600.00 ns, 247.6032 ns/op
WorkloadResult   9: 2097152 op, 504246400.00 ns, 240.4434 ns/op
WorkloadResult  10: 2097152 op, 534645600.00 ns, 254.9389 ns/op
WorkloadResult  11: 2097152 op, 540057400.00 ns, 257.5194 ns/op
WorkloadResult  12: 2097152 op, 524779100.00 ns, 250.2342 ns/op
WorkloadResult  13: 2097152 op, 512306100.00 ns, 244.2866 ns/op
WorkloadResult  14: 2097152 op, 528404000.00 ns, 251.9627 ns/op
WorkloadResult  15: 2097152 op, 516353100.00 ns, 246.2163 ns/op
WorkloadResult  16: 2097152 op, 552289400.00 ns, 263.3521 ns/op
WorkloadResult  17: 2097152 op, 526338000.00 ns, 250.9775 ns/op
WorkloadResult  18: 2097152 op, 513571700.00 ns, 244.8901 ns/op
WorkloadResult  19: 2097152 op, 519525200.00 ns, 247.7289 ns/op
WorkloadResult  20: 2097152 op, 510217300.00 ns, 243.2906 ns/op
WorkloadResult  21: 2097152 op, 505041000.00 ns, 240.8223 ns/op
WorkloadResult  22: 2097152 op, 505409300.00 ns, 240.9979 ns/op
WorkloadResult  23: 2097152 op, 503686100.00 ns, 240.1762 ns/op
WorkloadResult  24: 2097152 op, 509252300.00 ns, 242.8304 ns/op
GC:  0 0 0 0 0
